 #aa  mm  Ext Proba
   2   5  98   0.238E-12
   2   5  99   0.120E-12
   2   5 100   0.358E-25
   2   5 101   0.174E-13
   2   5 102   0.153E-16
   2   5 103   0.526E-19
   2   5 104   0.345E-17
   2   5 106   0.574E-35
   2   6  87   0.648E-35
   2   6  89   0.456E-34
   2   6  91   0.105E-11
   2   6  96   0.158E-15
   2   6  97   0.179E-12
   2   6 105   0.802E-36
   2   7  81   0.568E-32
   2   7  83   0.422E-30
   2   7  84   0.132E-25
   2   7  85   0.584E-22
   2   7  86   0.627E-25
   2   7  87   0.812E-21
   2   7  88   0.412E-23
   2   7  89   0.162E-17
   2   7  90   0.513E-17
   2   7  91   0.148E-13
   2   7  92   0.225E-14
   2   7  93   0.518E-12
   2   7  94   0.392E-12
   2   7  95   0.880E-11
   2   7  96   0.619E-11
   2   7  97   0.160E-12
   2   7  98   0.356E-12
   2   7  99   0.603E-13
   2   7 100   0.751E-14
   2   7 101   0.119E-14
   2   7 102   0.911E-15
   2   7 103   0.168E-18
   2   7 104   0.247E-32
   2   7 106   0.606E-29
   2   7 109   0.265E-18
   2   8  81   0.697E-22
   2   8  84   0.512E-20
   2   8  85   0.136E-17
   2   8  86   0.592E-24
   2   8  87   0.645E-20
   2   8  88   0.621E-13
   2   8  89   0.542E-16
   2   8  90   0.828E-36
   2   8  91   0.576E-14
   2   8  92   0.143E-20
   2   8  93   0.408E-11
   2   8  94   0.681E-11
   2   8  95   0.326E-11
   2   8  96   0.179E-11
   2   8  97   0.418E-12
   2   8  98   0.718E-12
   2   8  99   0.274E-13
   2   8 100   0.209E-13
   2   8 101   0.179E-13
   2   8 102   0.214E-14
   2   9  83   0.640E-35
   2   9  84   0.264E-17
   2   9  85   0.391E-32
   2   9  86   0.211E-24
